GBT4NZHJNT2NHOADRTYDOVB6I3HCWJYKK2M6GUDCNB3URGUIHPA6ONYR,,148000000.13163,"81"
GATB5F7BAC6TC5IDGBVWTP6KV3OD4RXLQCJSI2BTRJAYWU6MZABAZNLJ,,145227667.19559,"110"
GARWAYVCM7F3UAVM27NNTF5WNZJHXIADGZ72IBREPRFJZEPK5WAQ5TTV,,143361226.54829,"1237"
GD72B372BSW3HJHASJV3LBUCWGY2VFVKBJYMOCXPBGHHEE532YYROBIW,,140000000.13199,"82"
GDUUM6ZALRLR2AGJNDAD5BRDWKI7U7A6MM75JX6H4IMBA6QU3NG7BT4I,,137767778.53396,"197"
GC5LF63GRVIT5ZXXCXLPI3RX2YXKJQFZVBSAO6AUELN3YIMSWPD6Z6FH,Binance Withdrawals,137561532.73848,"320908"
GCI62UOJFYCUFFGJOO7D2U5ZNGLFJIOMN35G2KGSOQUTVY6MDH3H5XJJ,,133716031.7573,"80"
GANFDVCEDZWKKU7HCAWSBFWREQX4FZGIIBZBEJPLKFCJEKSRC2MIXZWK,,133716031.7573,"102"
GASB26LASMLTOMSXSWRAWR7ISR4HQZLUGVMARZEGN5EOO6OOMSLEY6LI,,131622280.38666,"148"
GBGANRZCD4BQH6AKCMD3T6ZFCFXRP7EWKPHIIEIVNVHUMDMTYQXVQNIF,,126792513.93378,"69"
GCGXQEUNC6NFQYXH7AYK7LJKKDZHHEV2XM72NFNQ6ZI4CGNQJIKFHWWM,,125062766.293,"74"
GDLEANMF27F653NBF23MEVEXWHM3G3LTFGUNIIWUL4L3VQBMIB3BYVYI,,123843773.61101,"28"
GB4PKQ63YKB66UDPVQSBCFLCSU5EKEY5A6BO2AU2S4DHLNLYUFMQZIEE,,122000000.13115,"54"
GDMU7ZIWNEPXBARXE4OSM7DAWAXFBGBCEDM35ZFSAJY45PJ67TLKFI42,,114261279.88817,"111"
GBSTTWX2DAYTVZI2FSBM3Y2SALWJYUDE2LXPLZQOU4SXDULGOVXTXQPC,,114017040.40155,"107"
GDOVCE4YMHQVKLQKHS6IBMPQL4WMIDU7SCKFWKWS7C7I3JM46VEX7VEA,,110628183.17264,"39"
GCYGKARCUQKBMWKMQSVDBJZZKVEAD66THWQT5INKZZB7DTKC5NPQ4BB6,,101958648.55667,"60"
GC42O2PVNPZXCF36CIDXTIMGW7EXJLARFCEU5EGD7VYSOWEACDJEXA7G,,100030882.02111,"54"
GATL3ETTZ3XDGFXX2ELPIKCZL7S5D2HY3VK4T7LRPD6DW5JOLAEZSZBA,SDF Direct Development (Hot 2),100000010.36698,"811"
GA6SWQM2AYEFHFAEL2JHOAWBSG5HUGVCSIWXH7J64ARFGISJAHIGAL5X,,99990319.021101,"54"
GDX4KKCOQY3ODKOKADCBDZSLAYUZ6YA2IM5YBVSBNDO7R52IROVSJ7WQ,,99253736.706378,"100"
GA5XIGA5C7QTPTWXQHY6MCJRMTRZDOSHR6EFIBNDQTCQHG262N4GGKTM,Kraken,95748855.2511,"736727"
GBUTL4YVVXNLSQBOAKB2GO62V6IPGHW3KCQOLXZGSIWC4CJW6AP4AMUI,,94786754.004443,"1504"
GCLNGZ3YI5UM3ANHIXZU2M5EJR76NQDFZ7AXZZZYPR4X5EJDCNSO4M57,,94100006.131454,"76"
GC3A252SDSNMVLCZBAINGD5V7WHFRYJ3JYVENTOZKHT2NLHEBTVW25JL,,87155060.850902,"146"
GATGIWCCL6E7CQRARZNERM3VTSMLL5MSJSRB7BQXRNQC332MRBQCJSOO,,85193599.48874,"125"
GAQL7CVLSJK7HAGQTUWZHA3JMQWFIJQZ6PRXHOB3SVIQIKCYKDNPQVBJ,,85147492.510494,"133"
GCAHSSDIVBOSJG7L7JV2UJBHIJCHLUXA2KXUXVQVS6QP3UCCMLLQ64SP,,75146799.021521,"35"
GB33O7V4PSLEV5Y725V3CBCM4WPW6YYJIDA27YUYRKA76LK2ZBNMJREW,,72194933.925497,"115"
GCDDFATQIAM5HJK7ZSKMGNZPNY3KU4QSNGZ7C5OT2KVE2PJNR3XVTJ3C,,68558056.589155,"74"
GBAVRIE5XNFDXURCV73G6ACKNITXYMJ3AVVO43PJCZV5TT4R7M5M3T7Z,,66928967.02092,"35"
GAN2LRLFQX2LO6AP4T26W7HKC5B3SRTXBZAP3CLV5PKK3B3L6J72IIPR,,65785001.000845,"120"
GBUTE7VHZ4HARBUNBGWWDCDYYSOH7D34JH7MCMT3EAIWBVOHP3FT2SX3,,65601584.020932,"32"
GDENEX67MJZSQRLBUCUIBJWJYHVTCDVTCJK7ZHUIYD2BX2OOCZAMQFCS,,65108575.64875,"102"
GDEOBLC65WTSG36S66CIVHY53NUV4YHPLIXGM5GSHDFJP5THFMNVKJNL,,64828787.164999,"754"
GCADKCPWLZFGUIUF45GYRO4AGGRYUAJFXL3BFWXBBGXBAGLL3JJ3Q2PT,,59900006.13111,"73"
GCCZDDRLIDDS5R5EB7BFCASTQYSLYGTFZ6YXNIW6ZIKBC2HQB3KRVD75,,57419695.012329,"3735"
GAWTWG5FZBWAZ6UZB2N7CNHB3ZWSPTVGU6SOQPN5N2TZQ5LDSJIPFEBK,,54122914.02113,"69"
